Brand,Model Name,Price,Rating,SIM Type,Hybrid Sim Slot,Touchscreen,Display_size,Operating System,Processor Core,Internal Storage,Primary Camera,Secondary Camera,Network Type,Bluetooth Version,Wi-Fi,GPS Support,SIM Size,Battery Capacity,Width,Height,Weight,SIM Type,Hybrid Sim Slot,Dual Camera Lens,Color
Infinix,HOT 30i,9499,4.2,Dual Sim,No,Yes,6.6,Android 12,Octa Core,128 GB,50MP + AI Lens,5MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,75.75 mm,164 mm,191 g,Dual Sim,No,,Mirror Black
Infinix,HOT 30i,8399,4.2,Dual Sim,No,Yes,6.6,Android 12,Octa Core,64 GB,50MP + AI Lens,5MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,75.75 mm,164 mm,191 g,Dual Sim,No,,Diamond White
Infinix,HOT 30i,9499,4.2,Dual Sim,No,Yes,6.6,Android 12,Octa Core,128 GB,50MP + AI Lens,5MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,75.75 mm,164 mm,191 g,Dual Sim,No,,Glacier Blue
APPLE,iPhone 13,52499,4.7,Dual Sim,No,Yes,6.1,iOS 15,Hexa Core,128 GB,12MP + 12MP,12MP Front Camera,"5G, 4G, 3G, 2G",v5.0,Yes,Yes,Nano + eSIM,3240 mAh,71.5 mm,146.7 mm,173 g,Dual Sim,No,Primary Camera,Blue
Infinix,HOT 30i,9499,4.2,Dual Sim,No,Yes,6.6,Android 12,Octa Core,128 GB,50MP + AI Lens,5MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,75.75 mm,164 mm,191 g,Dual Sim,No,,Marigold
realme,C53,10999,4.4,Dual Sim,No,Yes,6.74,Android 13,Octa Core,64 GB,108MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.67 mm,167.16 mm,186 g,Dual Sim,No,Primary Camera,Champion Gold
vivo,V29e 5G,26999,4.4,Dual Sim,Yes,Yes,6.78,Android 13,Octa Core,128 GB,64MP + 8MP,50MP Front Camera,"2G, 3G, 4G, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,74.92 mm,164.42 mm,180.5 g,Dual Sim,Yes,Primary Camera,Artistic Blue
Infinix,HOT 30i,9499,4.2,Dual Sim,No,Yes,6.6,Android 12,Octa Core,128 GB,50MP + AI Lens,5MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,75.75 mm,164 mm,191 g,Dual Sim,No,,Diamond White
realme,11 Pro+ 5G,29999,4.3,Dual Sim,Yes,Yes,6.7,Android 13,Octa Core,256 GB,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,73.9 mm,161.6 mm,189 g,Dual Sim,Yes,Primary Camera,Oasis Green
MOTOROLA,g84 5G,19999,4.2,Dual Sim,No,Yes,6.55,Android 13,Octa Core,256 GB,50MP (OIS) + 8MP,16MP Front Camera,"2G, 3G, 4G, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,74.4 mm,160 mm,166.8 g,Dual Sim,No,Primary Camera,Midnight Blue
POCO,C55,7499,4.2,Dual Sim,No,Yes,6.71,Android 12,Octa Core,64 GB,50MP Dual Rear Camera,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.41 mm,168.76 mm,192 g,Dual Sim,No,,Forest Green
POCO,C55,7499,4.2,Dual Sim,No,Yes,6.71,Android 12,Octa Core,64 GB,50MP Dual Rear Camera,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.41 mm,168.76 mm,192 g,Dual Sim,No,,Cool Blue
POCO,M6 Pro 5G,12999,4.3,Dual Sim,Yes,Yes,6.79,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"2G, 3G, 4G, 4G VOLTE, 5G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.28 mm,168.6 mm,199 g,Dual Sim,Yes,Primary Camera,Forest Green
vivo,V29e 5G,26999,4.4,Dual Sim,Yes,Yes,6.78,Android 13,Octa Core,128 GB,64MP + 8MP,50MP Front Camera,"2G, 3G, 4G, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,74.92 mm,164.42 mm,180.5 g,Dual Sim,Yes,Primary Camera,Artistic Red
vivo,V29e 5G,28999,4.4,Dual Sim,Yes,Yes,6.78,Android 13,Octa Core,256 GB,64MP + 8MP,50MP Front Camera,"2G, 3G, 4G, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,74.92 mm,164.42 mm,180.5 g,Dual Sim,Yes,Primary Camera,Artistic Red
realme,C53,9999,4.1,Dual Sim,No,Yes,6.74,Android 13,Octa Core,128 GB,108MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.67 mm,167.16 mm,186 g,Dual Sim,No,Primary Camera,Champion Black
realme,C53,9999,4.1,Dual Sim,No,Yes,6.74,Android 13,Octa Core,128 GB,108MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.67 mm,167.16 mm,186 g,Dual Sim,No,Primary Camera,Champion Gold
REDMI,A2,6900,4.1,Dual Sim,No,Yes,6.52,Android Android 13,Octa Core,64 GB,8MP Rear Camera,,4G VOLTE,,,,Nano Sim,5000 mAh,76.67 mm,167.16 mm,186 g,Dual Sim,No,Primary Camera,Sea Green
REDMI,A2,6799,4.1,Dual Sim,No,Yes,6.52,Android Android 13,Octa Core,64 GB,8MP Rear Camera,,4G VOLTE,,,,Nano Sim,5000 mAh,76.67 mm,167.16 mm,186 g,Dual Sim,No,Primary Camera,Classic Black
MOTOROLA,g14,9999,4.1,Dual Sim,No,Yes,6.5,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,73.82 mm,161.46 mm,177 g,Dual Sim,No,Primary Camera,Pale Lilac
realme,C53,10999,4.4,Dual Sim,No,Yes,6.74,Android 13,Octa Core,64 GB,108MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.67 mm,167.16 mm,186 g,Dual Sim,No,Primary Camera,Champion Black
REDMI,A2,6806,4.1,Dual Sim,No,Yes,6.52,Android Android 13,Octa Core,64 GB,8MP Rear Camera,,4G VOLTE,,,,Nano Sim,5000 mAh,76.67 mm,167.16 mm,186 g,Dual Sim,No,Primary Camera,Aqua Blue
MOTOROLA,e13,7999,4,Dual Sim,No,Yes,6.5,Android 13 (Go Edition),Octa Core,64 GB,13MP Rear Camera,5MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,74.95 mm,164.19 mm,179.5 g,Dual Sim,No,,Cosmic Black
MOTOROLA,Edge 40,29999,4.2,Dual Sim(Physical + eSIM),No,Yes,6.5,Android 13,Octa Core,256 GB,50MP + 13MP,32MP Front Camera,"5G, 4G, 3G, 2G",v5.2,Yes,Yes,,4400 mAh,71.99 mm,158.43 mm,171 g,Dual Sim(Physical + eSIM),No,Primary Camera,Nebula Green
realme,11 Pro+ 5G,27999,4.3,Dual Sim,Yes,Yes,6.7,Android 13,Octa Core,256 GB,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,73.9 mm,161.6 mm,183 g,Dual Sim,Yes,Primary Camera,Astral Black
Nokia,"105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",1549,4.1,Single Sim,No,No,1.77,,,32 MB,0MP,0MP Front Camera,2G,,No,No,Mini Sim,1000 mAh,,,79.7 g,Single Sim,No,,Terracotta Red
REDMI,A2,7129,4.1,Dual Sim,No,Yes,6.52,Android Android 13,Octa Core,32 GB,8MP Rear Camera,,4G VOLTE,,,,Mini Sim,5000 mAh,,,79.7 g,Dual Sim,No,Primary Camera,Aqua Blue
SAMSUNG,Galaxy F13,10999,4.3,Dual Sim,No,Yes,6.6,Android 12,Octa Core,64 GB,50MP + 5MP + 2MP,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,6000 mAh,76.9 mm,165.4 mm,207 g,Dual Sim,No,Primary Camera,Waterfall Blue
MOTOROLA,e32,8999,3.9,Dual Sim,No,Yes,6.5,Android 12,Octa Core,64 GB,50MP + 2MP,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,74.94 mm,163.95 mm,185 g,Dual Sim,No,Primary Camera,Eco Black
Infinix,Note 30 5G,14999,4.1,Dual Sim,No,Yes,6.78,Android 13,Octa Core,128 GB,108 MP + 2 MP+ AI Lens,16MP Front Camera,"2G, 3G, 4G, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.51 mm,168.51 mm,204.7 g,Dual Sim,No,Primary Camera,Sunset Gold
REDMI,A2,6746,4.1,Dual Sim,No,Yes,6.52,Android Android 13,Octa Core,64 GB,8MP Rear Camera,,4G VOLTE,,,,Nano Sim,5000 mAh,76.51 mm,168.51 mm,204.7 g,Dual Sim,No,Primary Camera,Sea Green
MOTOROLA,g54 5G,18999,3.9,Dual Sim,Yes,Yes,6.5,Android 13,Octa Core,256 GB,50MP (OIS) + 8MP,16MP Front Camera,"2G, 3G, 4G, 5G",v5.3,Yes,Yes,Nano Sim,6000 mAh,73.82 mm,161.56 mm,192 g,Dual Sim,Yes,Primary Camera,Pearl Blue
OPPO,Reno10 5G,32999,4.2,Dual Sim,No,Yes,6.7,Android 13,Octa Core,256 GB,64MP + 32MP + 8MP,32MP Front Camera,"5G, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim,5000 mAh,74.2 mm,162.4 mm,185 g,Dual Sim,No,Primary Camera,Ice Blue
OPPO,Reno10 5G,32999,4.2,Dual Sim,No,Yes,6.7,Android 13,Octa Core,256 GB,64MP + 32MP + 8MP,32MP Front Camera,"2G, 3G, 4G, 5G",v5.3,Yes,Yes,Nano Sim,5000 mAh,74.2 mm,162.4 mm,185 g,Dual Sim,No,Primary Camera,Silvery Grey
APPLE,iPhone 14,64999,4.6,Dual Sim(Nano + eSIM),No,Yes,6.1,iOS 16,Hexa Core,128 GB,12MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim + eSIM,3279 mAh,71.5 mm,146.7 mm,172 g,Dual Sim(Nano + eSIM),No,Primary Camera,Blue
POCO,M6 Pro 5G,10999,4.4,Dual Sim,Yes,Yes,6.79,Android 13,Octa Core,64 GB,50MP + 2MP,8MP Front Camera,"2G, 3G, 4G, 4G VOLTE, 5G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.28 mm,168.6 mm,199 g,Dual Sim,Yes,Primary Camera,Forest Green
REDMI,12 5G,14497,4.3,Dual Sim,No,Yes,6.79,Android Android 13 With MIUI 14,Octa Core,128 GB,50MP Rear Camera,,5G,,,,Nano Sim,5000 mAh,76.28 mm,168.6 mm,199 g,Dual Sim,No,Primary Camera,Pastel Blue
REDMI,12 5G,14475,4.3,Dual Sim,No,Yes,6.79,Android MIUI 14 With Android 13,Octa Core,128 GB,50MP Rear Camera,,5G,,,,Nano Sim,5000 mAh,76.28 mm,168.6 mm,199 g,Dual Sim,No,Primary Camera,Jade Black
APPLE,Iphone 15,79900,4.8,Dual Sim(Nano + eSIM),No,Yes,6.1,iOS 17,Hexa Core,128 GB,48MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim + eSIM,5000 mAh,71.6 mm,147.6 mm,171 g,Dual Sim(Nano + eSIM),No,Primary Camera,Green
realme,11 Pro 5G,27999,4.3,Dual Sim,Yes,Yes,6.7,Android 13,Octa Core,256 GB,100MP (OIS) + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,73.9 mm,161.6 mm,185 g,Dual Sim,Yes,Primary Camera,Astral Black
APPLE,iPhone 11,40999,4.6,Dual Sim,No,Yes,6.1,iOS 14.2,,128 GB,12MP + 12MP,12MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.0,Yes,Yes,Nano SIM and eSIM,3110 mAh,75.7 mm,150.9 mm,194 g,Dual Sim,No,Primary Camera,Black
MOTOROLA,g54 5G,15999,4.1,Dual Sim,Yes,Yes,6.5,Android 13,Octa Core,128 GB,50MP (OIS) + 8MP,16MP Front Camera,"2G, 3G, 4G, 5G",v5.3,Yes,Yes,Nano Sim,6000 mAh,73.82 mm,161.56 mm,192 g,Dual Sim,Yes,Primary Camera,Mint Green
OnePlus,Nord CE 3 Lite 5G,21990,4.4,Dual Sim,No,Yes,6.72,Android Android 13,Octa Core,256 GB,108MP Rear Camera,,5G,,,,Nano Sim,5000 mAh,73.82 mm,161.56 mm,192 g,Dual Sim,No,Primary Camera,Pastel Lime
OnePlus,Nord CE 3 Lite 5G,19989,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,108MP Rear Camera,,5G,,,,Nano Sim,5000 mAh,73.82 mm,161.56 mm,192 g,Dual Sim,No,Primary Camera,Chromatic Gray
SAMSUNG,Guru Music 2,2499,4.3,Dual Sim,No,No,2,1,Single Core,,,0MP Front Camera,2G,0,No,No,Full Size SIM,800 mAh,70 mm,160 mm,74.98 g,Dual Sim,No,,White
MOTOROLA,g54 5G,15999,4.1,Dual Sim,Yes,Yes,6.5,Android 13,Octa Core,128 GB,50MP (OIS) + 8MP,16MP Front Camera,"2G, 3G, 4G, 5G",v5.3,Yes,Yes,Nano Sim,6000 mAh,73.82 mm,161.56 mm,192 g,Dual Sim,Yes,Primary Camera,Midnight Blue
OnePlus,Nord CE 2 Lite 5G,17341,4.4,Dual Sim,Yes,Yes,6.59,Android 10,Octa Core,128 GB,64MP Rear Camera,16MP Front Camera,5G,,,,Nano Sim,5000 mAh,73.82 mm,161.56 mm,192 g,Dual Sim,Yes,,Blue Tide
Infinix,Note 30 5G,15999,4.2,Dual Sim,No,Yes,6.78,Android 13,Octa Core,256 GB,108 MP + 2 MP+ AI Lens,16MP Front Camera,"2G, 3G, 4G, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.51 mm,168.51 mm,204.7 g,Dual Sim,No,Primary Camera,Sunset Gold
APPLE,iPhone 14,64999,4.6,Dual Sim(Nano + eSIM),No,Yes,6.1,iOS 16,Hexa Core,128 GB,12MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim + eSIM,3279 mAh,71.5 mm,146.7 mm,172 g,Dual Sim(Nano + eSIM),No,Primary Camera,Midnight
realme,11 Pro+ 5G,27999,4.3,Dual Sim,Yes,Yes,6.7,Android 13,Octa Core,256 GB,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,73.9 mm,161.6 mm,189 g,Dual Sim,Yes,Primary Camera,Sunrise Beige
Infinix,Smart 7 HD,6199,5,Dual Sim,No,Yes,6.6,Android 12,Octa Core,64 GB,8MP + AI Lens,5MP Front Camera,"2G, 3G, 4G",v4.2,Yes,Yes,Nano Sim,5000 mAh,75.51 mm,163.88 mm,196 g,Dual Sim,No,Primary Camera,Silk Blue
MOTOROLA,g14,9999,4.1,Dual Sim,No,Yes,6.5,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,73.82 mm,161.46 mm,177 g,Dual Sim,No,Primary Camera,Sky Blue
Nokia,"105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",1499,4.1,Single Sim,No,No,1.77,,,32 MB,0MP,0MP Front Camera,2G,,No,No,Mini Sim,1000 mAh,,,79.7 g,Single Sim,No,,Cyan
realme,11 Pro+ 5G,29999,4.3,Dual Sim,Yes,Yes,6.7,Android 13,Octa Core,256 GB,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,73.9 mm,161.6 mm,183 g,Dual Sim,Yes,Primary Camera,Astral Black
Infinix,Smart 7 HD,6199,4.3,Dual Sim,No,Yes,6.6,Android 12,Octa Core,64 GB,8MP + AI Lens,5MP Front Camera,"2G, 3G, 4G",v4.2,Yes,Yes,Nano Sim,5000 mAh,75.51 mm,163.88 mm,196 g,Dual Sim,No,Primary Camera,Ink Black
Infinix,Note 30 5G,14999,4.1,Dual Sim,No,Yes,6.78,Android 13,Octa Core,128 GB,108 MP + 2 MP+ AI Lens,16MP Front Camera,"2G, 3G, 4G, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.51 mm,168.51 mm,204.7 g,Dual Sim,No,Primary Camera,Magic Black
SAMSUNG,Galaxy M14 5G,14665,4.2,Dual Sim,No,Yes,6.6,Android Android 13.0,Octa Core,128 GB,50MP Rear Camera,,"5G, 4G",,,,Nano Sim,6000 mAh,76.51 mm,168.51 mm,204.7 g,Dual Sim,No,Primary Camera,Smoky Teal
Infinix,Note 30 5G,14999,4.1,Dual Sim,No,Yes,6.78,Android 13,Octa Core,128 GB,108 MP + 2 MP+ AI Lens,16MP Front Camera,"2G, 3G, 4G, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.51 mm,168.51 mm,204.7 g,Dual Sim,No,Primary Camera,Interstellar Blue
